router_id,router_model,mean_power_PSU1,mean_power_PSU2,median_power_PSU1,median_power_PSU2,PSU_capacity,efficiency_PSU1,efficiency_PSU2,inlet_temperature
swiMU4,NCS-55A1-24Q6H-SS,157.30218431634722,135.54392307427827,157.323,135.5,1100,0.7877461706783371,0.7719298245614036,
swiMU3,NCS-55A1-24Q6H-SS,142.87077685744006,135.638116934944,142.812,135.55345489,1100,0.8771929824561404,0.780701754385965,
swiAY1,NCS-55A1-24Q6H-SS,150.56496673009693,135.55765506711552,150.552,135.5,1100,0.7394957983193278,0.7089715536105033,
swiFY1,NCS-55A1-24Q6H-SS,151.5590572933937,133.51999127845073,151.536,133.52698559000004,1100,0.7717996289424861,0.7510548523206751,
swiRK2,NCS-55A1-24Q6H-SS,151.08764734147522,128.55786096300426,151.146434835,128.52149805,1100,0.76937441643324,0.8140043763676149,
swiOR11,NCS-55A1-48Q6H,164.5892009861176,172.26751972106152,164.781,169.38020973,1100,0.8193832599118943,0.9069767441860468,
swiRK3,NCS-55A1-48Q6H,163.71312717945116,185.7637240126219,163.704,185.796999775,1100,0.9536423841059604,0.9019607843137256,
swiZY1,NCS-55A1-48Q6H,185.9750974251136,160.76223789041657,185.948,160.758,1100,0.8908296943231441,0.9049662783568364,
swiWB2,NCS-55A1-48Q6H,180.2907092320476,166.67868876874147,180.264,166.08771912,1100,0.9230769230769228,0.8944099378881988,
swiLM1,NCS-55A1-48Q6H,180.4559297310589,155.39151734717046,180.411,154.42963252,1100,0.8682505399568036,0.8753799392097265,
swiLM2,NCS-55A1-48Q6H,175.5679355749011,165.86564343448475,173.625,167.22998368,1100,0.8311688311688312,0.8663199755276845,
swiWB1,NCS-55A1-48Q6H,186.16123527698645,170.58138591773658,185.61496773,171.75,1100,0.925601750547046,0.812227074235808,
swiUN540,N540-24Z8Q2C-M,79.6813408004207,79.64563300988328,79.698,79.6650189795,400,0.6795505617977528,0.6937078651685393,
swiOR1,WS-C6504-E,164.5892009861176,172.26751972106152,164.781,169.38020973,2700,,,
swiOT2,8201-24H8FH,110.20698485229666,156.88540075484602,112.0,158.17590128,2000,0.5454545454545454,0.6456521739130434,26.0
swiJO1,8201-24H8FH,141.09430755952846,181.9596178805974,141.0,182.0,2000,0.6573295985060692,0.7172812725958063,36.0
